user_id,education_level,field_of_study,percentage,has_ehr,has_hl7_fhir,has_medical_imaging,has_healthcare_security,has_telemedicine,has_iot_sensors,has_drone_ops,has_precision_ag,has_crop_modeling,has_soil_analysis,has_gis,has_smart_grid,has_traffic_mgmt,has_urban_iot,has_building_auto,num_courses,avg_course_grade,courses_names,num_projects,avg_project_complexity,num_certifications,certification_names,has_communication,has_teamwork,has_problem_solving,has_leadership,target_sector,target_role,skill_gap_score,time_to_ready_months,top_missing_skill
U0011,4,Software Engineering,77.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,80.22,Mobile Development; Deep Learning; Machine Learning; Big Data Analytics; Software Engineering; IoT Systems; Data Mining; Computer Vision; Cloud Architecture; Data Structures,3,2.48,3,Product Owner Certification; TOGAF; TensorFlow Developer,0,1,0,1,Healthcare,Healthcare Security Analyst,23,4,PHI Protection
U0012,4,Civil Engineering,68.79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,70.22,Natural Language Processing; Operating Systems; Machine Learning; AI Fundamentals; Data Mining,4,2.09,6,Certified Ethical Hacker; Certified Analytics Professional; Google Cloud Professional; AWS Solutions Architect; Advanced Analytics Certification; CompTIA Security+,0,1,0,0,Healthcare,Medical Imaging Specialist,4,1,3D Reconstruction
U0013,4,Data Science,72.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,65.07,IoT Systems; Operating Systems; Database Systems,6,1.32,2,Power BI Data Analyst; Azure Fundamentals,1,0,0,1,Urban,Smart Grid Engineer,23,4,Grid Stability
U0014,3,Electrical Engineering,88.72,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8,88.34,Data Structures; Natural Language Processing; IoT Systems; Machine Learning; Data Mining; Cloud Architecture; Computer Vision; Mobile Development,6,1.08,7,Tableau Desktop Specialist; Cisco CCNA; PMP; TOGAF; Product Owner Certification; Azure Fundamentals; Data Science Council Certified,0,1,0,1,Healthcare,Clinical Data Analyst,25,3,Healthcare Analytics
U0015,2,Mechanical Engineering,92.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,93.2,Mobile Development; Deep Learning; Big Data Analytics; Operating Systems,7,1.8,5,Certified Ethical Hacker; PMP; TensorFlow Developer; Cisco CCNA; Data Science Council Certified,0,1,1,0,Urban,Traffic Management Specialist,25,6,Transportation Planning
U0016,3,Electrical Engineering,67.36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,63.51,IoT Systems; Computer Vision; Database Systems; Mobile Development,5,2.61,3,AWS Solutions Architect; Azure Fundamentals; CISSP,1,0,1,1,Urban,Building Automation Engineer,9,2,HVAC Control
U0017,4,Statistics,66.81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,62.08,Deep Learning; Software Engineering; Data Mining; Database Systems; Natural Language Processing; Operating Systems,3,1.91,8,Advanced Analytics Certification; Cisco CCNA; Power BI Data Analyst; Scrum Master; TOGAF; Tableau Desktop Specialist; Product Owner Certification; PMP,1,0,1,1,Urban,Smart Grid Engineer,4,1,Microgrid Design
U0018,3,Public Health,68.65,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,64.36,Natural Language Processing; Computer Vision; Cloud Architecture; Deep Learning; AI Fundamentals; Advanced Algorithms; Network Security; Big Data Analytics,5,1.13,7,Cisco CCNA; Data Science Council Certified; PMP; AWS Solutions Architect; CISSP; TensorFlow Developer; Tableau Desktop Specialist,0,1,1,0,Urban,GIS Specialist,5,1,Spatial Statistics
U0019,3,Electrical Engineering,86.37,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,87.23,Software Engineering; Cloud Architecture; Machine Learning; Data Structures; Mobile Development; Big Data Analytics; IoT Systems; Deep Learning; Data Mining,8,1.27,3,Azure Fundamentals; Product Owner Certification; PMP,1,0,1,1,Agriculture,Crop Analytics Engineer,0,1,Climate Data
U0020,3,Public Health,90.79,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,92.51,Data Mining; Machine Learning; Database Systems; Advanced Algorithms,2,2.24,4,Certified Ethical Hacker; TensorFlow Developer; Cisco CCNA; Azure Fundamentals,0,1,1,1,Agriculture,Soil Science Data Analyst,5,2,Soil Chemistry
U0021,2,Statistics,81.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,85.37,Advanced Algorithms; Computer Vision; Database Systems; AI Fundamentals; Network Security; Data Structures; Cloud Architecture; IoT Systems; Mobile Development,3,2.59,1,Tableau Desktop Specialist,1,1,0,1,Urban,Energy Systems Engineer,25,5,Power Systems
U0022,2,Agricultural Engineering,88.78,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,12,90.9,Natural Language Processing; Statistics; Software Engineering; Operating Systems; Big Data Analytics; Network Security; Mobile Development; Cloud Architecture; Distributed Systems; AI Fundamentals; Data Mining; Deep Learning,9,1.49,7,Cisco CCNA; AWS Solutions Architect; Scrum Master; Certified Analytics Professional; CompTIA Security+; Google Cloud Professional; Data Science Council Certified,0,1,1,1,Healthcare,Population Health Analyst,0,2,Health Outcomes
U0023,3,Statistics,84.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,85.91,Statistics; Big Data Analytics; Software Engineering; Machine Learning; Data Mining; Cloud Architecture; AI Fundamentals; Advanced Algorithms; Data Structures; Operating Systems; Distributed Systems,9,2.11,7,Cisco CCNA; Tableau Desktop Specialist; TensorFlow Developer; Scrum Master; Certified Ethical Hacker; Power BI Data Analyst; Data Science Council Certified,0,0,0,1,Agriculture,AgriTech Product Manager,13,4,Product Strategy
U0024,2,Agriculture,78.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,83.41,Deep Learning; Mobile Development; AI Fundamentals; Advanced Algorithms; Cloud Architecture; Big Data Analytics; Distributed Systems; Computer Vision; Software Engineering; Machine Learning; Web Development; Network Security,6,1.09,1,TOGAF,0,1,0,0,Urban,Urban IoT Developer,33,7,City APIs
U0025,4,Electrical Engineering,76.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,72.44,Computer Vision; Data Mining; Cloud Architecture; Deep Learning,6,1.17,4,CISSP; Certified Analytics Professional; TOGAF; Data Science Council Certified,0,1,1,1,Agriculture,Drone Operations Specialist,26,8,Aerial Imaging
U0026,3,Statistics,94.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,87.26,Computer Vision; Distributed Systems; Machine Learning; Operating Systems; Database Systems; Network Security,9,1.58,4,TOGAF; Advanced Analytics Certification; Tableau Desktop Specialist; Certified Analytics Professional,1,0,0,1,Agriculture,AgriTech Product Manager,11,2,Market Analysis
U0027,4,Statistics,83.14,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,74.03,Mobile Development; Big Data Analytics; Software Engineering; AI Fundamentals,9,2.38,7,Product Owner Certification; TensorFlow Developer; Scrum Master; Azure Fundamentals; TOGAF; AWS Solutions Architect; PMP,1,1,0,0,Healthcare,Population Health Analyst,34,11,Health Outcomes
U0028,2,Mathematics,89.26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,81.98,Big Data Analytics; Operating Systems; Statistics; Computer Vision; Database Systems; Distributed Systems; Advanced Algorithms,7,1.64,2,CompTIA Security+; Cisco CCNA,1,1,1,1,Urban,Smart City Solutions Architect,0,3,Urban Planning
U0029,4,Computer Science,75.92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,66.73,Deep Learning; Network Security; Statistics; Software Engineering; Data Structures; Machine Learning; AI Fundamentals; Cloud Architecture; Web Development,4,2.86,8,TensorFlow Developer; CISSP; AWS Solutions Architect; Cisco CCNA; TOGAF; Advanced Analytics Certification; Google Cloud Professional; Certified Ethical Hacker,0,1,0,0,Agriculture,Agricultural IoT Developer,8,1,Low-Power Devices
U0030,2,Civil Engineering,93.15,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,10,91.42,Data Structures; Advanced Algorithms; Deep Learning; Cloud Architecture; Operating Systems; Data Mining; Statistics; Natural Language Processing; Distributed Systems; Web Development,6,2.64,5,TOGAF; TensorFlow Developer; Certified Analytics Professional; Google Cloud Professional; Scrum Master,1,1,1,1,Urban,Urban IoT Developer,0,2,Urban Sensor Networks
U0031,3,Environmental Engineering,90.44,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9,95.27,Cloud Architecture; Statistics; Data Mining; Big Data Analytics; Web Development; Mobile Development; Distributed Systems; Deep Learning; Database Systems,3,2.05,8,AWS Solutions Architect; Certified Ethical Hacker; PMP; Certified Analytics Professional; Cisco CCNA; Google Cloud Professional; Azure Fundamentals; Scrum Master,1,1,1,0,Urban,Traffic Management Specialist,0,2,Simulation Software
U0032,3,Mathematics,90.08,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,4,86.59,AI Fundamentals; Big Data Analytics; Software Engineering; Distributed Systems,6,2.81,1,Cisco CCNA,0,1,1,1,Agriculture,Drone Operations Specialist,2,2,Flight Planning
U0033,3,Information Technology,68.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,72.37,Cloud Architecture; Database Systems; Software Engineering; Web Development; Natural Language Processing; Big Data Analytics; IoT Systems; Machine Learning; Deep Learning; Operating Systems,10,1.32,6,TOGAF; Certified Analytics Professional; Tableau Desktop Specialist; Certified Ethical Hacker; Scrum Master; TensorFlow Developer,0,1,1,0,Agriculture,Precision Agriculture Specialist,28,9,Variable Rate Technology
U0034,2,Agricultural Engineering,80.02,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,12,81.2,Mobile Development; Database Systems; Network Security; Natural Language Processing; IoT Systems; AI Fundamentals; Big Data Analytics; Cloud Architecture; Software Engineering; Computer Vision; Data Mining; Machine Learning,6,2.58,1,Tableau Desktop Specialist,0,0,1,1,Urban,GIS Specialist,0,3,Remote Sensing
U0035,4,Agricultural Engineering,66.15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,70.74,Cloud Architecture; Database Systems; Data Structures; Network Security; Data Mining; Deep Learning; Advanced Algorithms; Machine Learning; Big Data Analytics; Web Development,3,1.91,5,Power BI Data Analyst; Tableau Desktop Specialist; Azure Fundamentals; Cisco CCNA; CISSP,1,0,1,0,Healthcare,Healthcare Security Analyst,11,4,Security Auditing
U0036,4,Data Science,82.24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,73.98,Database Systems; Natural Language Processing; Cloud Architecture; Data Structures; Big Data Analytics; Distributed Systems; IoT Systems; Network Security; Web Development; Advanced Algorithms,4,2.77,2,TensorFlow Developer; Certified Analytics Professional,1,0,1,0,Agriculture,Agricultural IoT Developer,0,1,Edge Computing
U0037,3,Civil Engineering,93.27,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,84.65,Advanced Algorithms; Machine Learning; Data Mining; IoT Systems; AI Fundamentals; Computer Vision; Data Structures; Mobile Development; Software Engineering; Deep Learning,10,1.41,4,Cisco CCNA; Certified Ethical Hacker; Power BI Data Analyst; TOGAF,0,1,0,0,Agriculture,Farm Automation Engineer,0,1,Sensor Integration
U0038,4,Electrical Engineering,87.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,81.93,Cloud Architecture; Operating Systems; Deep Learning; AI Fundamentals; Network Security,3,1.95,6,Advanced Analytics Certification; CISSP; Scrum Master; Product Owner Certification; TensorFlow Developer; TOGAF,0,1,1,0,Healthcare,Healthcare ML Engineer,22,4,Clinical NLP
U0039,2,Civil Engineering,89.66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,83.79,Big Data Analytics; Natural Language Processing; IoT Systems; Data Structures; Mobile Development,10,1.59,7,CISSP; Advanced Analytics Certification; Certified Analytics Professional; Cisco CCNA; Data Science Council Certified; Product Owner Certification; TensorFlow Developer,1,1,0,1,Agriculture,Farm Automation Engineer,23,6,Automation Systems
U0040,3,Civil Engineering,73.96,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,64.97,Computer Vision; Big Data Analytics; Operating Systems; AI Fundamentals; Network Security; Software Engineering; Distributed Systems; Natural Language Processing; Web Development; Machine Learning,10,2.12,7,Tableau Desktop Specialist; Certified Analytics Professional; TensorFlow Developer; Advanced Analytics Certification; AWS Solutions Architect; Certified Ethical Hacker; TOGAF,1,1,0,0,Urban,Energy Systems Engineer,2,1,Energy Management
U0041,2,Mathematics,76.88,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,12,80.82,Web Development; Machine Learning; Distributed Systems; Big Data Analytics; Network Security; Data Structures; Cloud Architecture; Deep Learning; Software Engineering; Natural Language Processing; Computer Vision; Statistics,8,1.14,2,Advanced Analytics Certification; PMP,1,1,1,1,Healthcare,Healthcare Security Analyst,1,1,Threat Detection
U0042,2,Environmental Engineering,70.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,64.99,Operating Systems; Statistics; Software Engineering; Big Data Analytics,6,1.43,2,Tableau Desktop Specialist; Certified Analytics Professional,0,1,1,1,Agriculture,Farm Automation Engineer,40,14,Robotics
U0043,2,Software Engineering,73.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,68.17,AI Fundamentals; Machine Learning; Statistics; Operating Systems; Computer Vision; Software Engineering; Advanced Algorithms,10,2.41,6,Google Cloud Professional; Power BI Data Analyst; Certified Analytics Professional; Tableau Desktop Specialist; AWS Solutions Architect; PMP,0,1,0,1,Urban,Smart City Solutions Architect,14,2,Integration Architecture
U0044,4,Agricultural Engineering,80.07,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,71.39,AI Fundamentals; Database Systems; Operating Systems; Data Structures; Web Development; Data Mining; Advanced Algorithms; Cloud Architecture,7,1.44,2,Advanced Analytics Certification; CISSP,0,1,1,0,Urban,Smart Grid Engineer,2,1,Demand Response
U0045,2,Data Science,65.13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,64.55,Big Data Analytics; IoT Systems; Natural Language Processing; Cloud Architecture; Database Systems; Data Mining; Software Engineering; Data Structures; Deep Learning; Statistics; Mobile Development; Machine Learning,7,2.01,8,Data Science Council Certified; Azure Fundamentals; AWS Solutions Architect; CompTIA Security+; Certified Ethical Hacker; TensorFlow Developer; Cisco CCNA; Tableau Desktop Specialist,1,1,0,1,Healthcare,Healthcare IT Manager,11,4,Vendor Management
U0046,4,Mathematics,66.59,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,5,60.45,Software Engineering; Big Data Analytics; Deep Learning; Distributed Systems; Statistics,7,2.84,7,Certified Analytics Professional; Cisco CCNA; TensorFlow Developer; TOGAF; AWS Solutions Architect; Data Science Council Certified; Tableau Desktop Specialist,1,0,1,0,Urban,Urban Planning Data Analyst,7,3,Urban Indicators
U0047,4,Mathematics,73.53,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5,72.46,Computer Vision; Mobile Development; Data Structures; IoT Systems; Operating Systems,4,2.34,2,Certified Analytics Professional; Tableau Desktop Specialist,0,1,1,0,Agriculture,Precision Agriculture Specialist,25,6,Yield Mapping
U0048,2,Environmental Engineering,93.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,94.73,Deep Learning; Data Mining; IoT Systems; Cloud Architecture; Mobile Development; Advanced Algorithms; Computer Vision; Data Structures; Network Security; Software Engineering; Big Data Analytics,9,1.09,4,Data Science Council Certified; TOGAF; Power BI Data Analyst; Tableau Desktop Specialist,1,0,0,1,Agriculture,Crop Analytics Engineer,27,9,Crop Simulation Models
U0049,3,Software Engineering,72.87,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,74.89,Cloud Architecture; Web Development; Data Mining; Statistics; Operating Systems; Distributed Systems,10,2.87,2,TOGAF; Google Cloud Professional,0,1,1,0,Urban,Urban Planning Data Analyst,18,5,SQL for Urban Data
U0050,3,Data Science,93.12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,98.04,Network Security; Database Systems; Machine Learning; IoT Systems; Software Engineering; Data Mining; Big Data Analytics; Statistics; Distributed Systems,4,1.28,5,TensorFlow Developer; Certified Ethical Hacker; Power BI Data Analyst; Tableau Desktop Specialist; Scrum Master,1,0,0,0,Healthcare,EHR Integration Specialist,11,5,HL7 FHIR
U0051,3,Software Engineering,89.22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,88.8,Software Engineering; Computer Vision; AI Fundamentals; Statistics; Mobile Development; Web Development; Machine Learning; IoT Systems; Operating Systems,5,2.44,5,Certified Analytics Professional; AWS Solutions Architect; TOGAF; CompTIA Security+; CISSP,1,0,0,1,Urban,Smart Grid Engineer,24,3,Demand Response
U0052,2,Mechanical Engineering,79.04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,80.25,Network Security; Computer Vision; Big Data Analytics; Database Systems; Deep Learning; IoT Systems; Operating Systems,3,2.54,6,Certified Ethical Hacker; Azure Fundamentals; CompTIA Security+; Product Owner Certification; Data Science Council Certified; Cisco CCNA,0,1,1,0,Urban,Smart City Solutions Architect,15,4,Stakeholder Management
U0053,2,Data Science,85.06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,81.03,Natural Language Processing; Statistics; Web Development; Data Mining; Data Structures; IoT Systems; AI Fundamentals; Cloud Architecture; Distributed Systems; Machine Learning; Operating Systems,6,1.25,6,Certified Analytics Professional; Power BI Data Analyst; Tableau Desktop Specialist; Scrum Master; PMP; CompTIA Security+,0,1,1,1,Agriculture,AgriTech Product Manager,0,2,Agribusiness
U0054,4,Electrical Engineering,88.04,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,79.24,Mobile Development; Big Data Analytics; Software Engineering; Operating Systems,4,2.38,6,Data Science Council Certified; Azure Fundamentals; Tableau Desktop Specialist; Certified Analytics Professional; CompTIA Security+; TOGAF,1,1,0,0,Urban,Smart Grid Engineer,16,5,Microgrid Design
U0055,4,Mathematics,74.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,67.76,Network Security; Big Data Analytics; Data Structures; Data Mining,4,2.36,6,Tableau Desktop Specialist; Data Science Council Certified; Power BI Data Analyst; Azure Fundamentals; TOGAF; Google Cloud Professional,1,1,1,1,Urban,Urban IoT Developer,32,5,Smart Infrastructure
U0056,2,Data Science,60.91,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,61.18,Cloud Architecture; Computer Vision; Software Engineering; Distributed Systems; Deep Learning; Network Security; Database Systems; Data Mining; IoT Systems; Statistics,7,2.42,5,CompTIA Security+; Advanced Analytics Certification; Power BI Data Analyst; TensorFlow Developer; Product Owner Certification,0,0,0,0,Healthcare,EHR Integration Specialist,5,1,Interoperability
U0057,2,Public Health,77.29,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,11,73.45,Operating Systems; Computer Vision; Cloud Architecture; IoT Systems; Statistics; Data Mining; Database Systems; Data Structures; Software Engineering; Web Development; Distributed Systems,4,2.76,3,Certified Ethical Hacker; Certified Analytics Professional; Product Owner Certification,0,0,0,1,Agriculture,Drone Operations Specialist,4,2,Drone Regulations
U0058,2,Information Technology,71.29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,70.67,Natural Language Processing; Computer Vision; Deep Learning; Distributed Systems; Mobile Development,4,1.34,6,Azure Fundamentals; AWS Solutions Architect; Advanced Analytics Certification; TensorFlow Developer; Cisco CCNA; TOGAF,1,0,1,0,Urban,Traffic Management Specialist,24,5,Traffic Modeling
U0059,3,Mathematics,79.1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,5,75.69,Statistics; Software Engineering; Advanced Algorithms; IoT Systems; Mobile Development,4,1.63,6,Tableau Desktop Specialist; Power BI Data Analyst; Google Cloud Professional; TensorFlow Developer; CompTIA Security+; Product Owner Certification,0,1,0,1,Urban,GIS Specialist,7,1,GIS Software
U0060,2,Electrical Engineering,75.74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,79.75,IoT Systems; Advanced Algorithms; Distributed Systems; Statistics; Web Development; Database Systems; Operating Systems; Cloud Architecture,9,1.05,8,Scrum Master; PMP; TOGAF; CompTIA Security+; AWS Solutions Architect; Power BI Data Analyst; Certified Ethical Hacker; Advanced Analytics Certification,1,1,0,0,Healthcare,Medical Imaging Specialist,33,8,DICOM Standards
U0061,3,Information Technology,90.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,89.19,Computer Vision; Data Structures; Deep Learning; Software Engineering; Natural Language Processing; Web Development; Cloud Architecture; Mobile Development,3,1.26,2,Power BI Data Analyst; Tableau Desktop Specialist,1,1,0,0,Urban,Building Automation Engineer,3,3,Building Protocols
U0062,4,Mechanical Engineering,74.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,73.14,Deep Learning; Cloud Architecture; IoT Systems; Big Data Analytics; Computer Vision,8,2.98,5,Cisco CCNA; TensorFlow Developer; Tableau Desktop Specialist; TOGAF; Certified Ethical Hacker,1,0,1,1,Healthcare,Healthcare ML Engineer,25,5,HIPAA Compliance
U0063,4,Data Science,94.3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,10,86.86,Data Structures; Cloud Architecture; Database Systems; Data Mining; Mobile Development; Network Security; Statistics; AI Fundamentals; Machine Learning; Deep Learning,7,1.84,4,Certified Analytics Professional; TensorFlow Developer; Advanced Analytics Certification; Data Science Council Certified,0,0,0,1,Urban,GIS Specialist,29,7,GIS Software
U0064,4,Civil Engineering,78.39,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,10,71.27,Database Systems; Web Development; Mobile Development; Big Data Analytics; Cloud Architecture; Data Structures; Software Engineering; Network Security; AI Fundamentals; Statistics,7,1.96,5,CISSP; Power BI Data Analyst; Data Science Council Certified; PMP; CompTIA Security+,0,1,0,1,Agriculture,Precision Agriculture Specialist,26,8,GPS Systems
U0065,4,Data Science,72.12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,64.18,Big Data Analytics; Database Systems; Natural Language Processing; Data Mining; IoT Systems; Web Development; AI Fundamentals,5,1.1,7,Cisco CCNA; TensorFlow Developer; Azure Fundamentals; Advanced Analytics Certification; Power BI Data Analyst; Google Cloud Professional; AWS Solutions Architect,0,1,1,1,Agriculture,Agricultural IoT Developer,8,2,Low-Power Devices
U0066,4,Software Engineering,86.46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,90.16,Distributed Systems; Operating Systems; Big Data Analytics,2,2.99,7,TensorFlow Developer; CompTIA Security+; Data Science Council Certified; Tableau Desktop Specialist; Certified Ethical Hacker; AWS Solutions Architect; Certified Analytics Professional,1,0,1,1,Agriculture,Drone Operations Specialist,3,1,Drone Regulations
U0067,3,Mathematics,79.02,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,78.74,Distributed Systems; Machine Learning; IoT Systems; Mobile Development; Statistics; Deep Learning; Data Structures; AI Fundamentals; Computer Vision; Software Engineering,8,2.65,2,Power BI Data Analyst; CISSP,0,0,1,1,Agriculture,Precision Agriculture Specialist,0,1,Variable Rate Technology
U0068,2,Computer Science,69.13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,60.88,AI Fundamentals; Software Engineering; Mobile Development; Distributed Systems; Advanced Algorithms; IoT Systems,10,2.85,5,CISSP; TOGAF; CompTIA Security+; TensorFlow Developer; Advanced Analytics Certification,0,0,1,0,Healthcare,EHR Integration Specialist,23,5,API Integration
